gene_id	gene_name	gene_type
ENSG00000253641.4	345	lincRNA
ENSG00000253669.3	255	lincRNA
ENSG00000253701.2	505	lincRNA
ENSG00000253720.1	318	lincRNA
ENSG00000253768.1	277	lincRNA
ENSG00000253853.1	290	lincRNA
ENSG00000253924.1	191	lincRNA
ENSG00000253926.1	183	lincRNA
ENSG00000253948.1	1380	lincRNA
ENSG00000254006.4	212	lincRNA
ENSG00000254060.1	243	lincRNA
ENSG00000254153.1	240	lincRNA
ENSG00000254164.1	206	lincRNA
ENSG00000254177.1	257	lincRNA
ENSG00000254197.1	219	lincRNA
ENSG00000254263.1	329	lincRNA
ENSG00000254281.1	681	lincRNA
ENSG00000254319.4	267	lincRNA
ENSG00000254337.1	165	lincRNA
ENSG00000254343.2	914	lincRNA
ENSG00000254531.1	1507	lincRNA
ENSG00000254533.1	169	lincRNA
ENSG00000254538.1	282	lincRNA
ENSG00000254605.1	239	lincRNA
ENSG00000254615.2	363	lincRNA
ENSG00000254653.1	210	lincRNA
ENSG00000254777.4	167	lincRNA
ENSG00000254802.1	612	lincRNA
ENSG00000254810.1	229	lincRNA
ENSG00000254837.2	958	lincRNA
ENSG00000254973.1	159	lincRNA
ENSG00000255121.2	755	lincRNA
ENSG00000255135.3	1518	lincRNA
ENSG00000255142.1	847	lincRNA
ENSG00000255198.4	1497	lincRNA
ENSG00000255284.1	1352	lincRNA
ENSG00000255318.1	193	lincRNA
ENSG00000255328.1	181	lincRNA
ENSG00000255362.1	181	lincRNA
ENSG00000255455.2	1086	lincRNA
ENSG00000255503.1	339	lincRNA
ENSG00000255557.1	203	lincRNA
ENSG00000255571.5	340	lincRNA
ENSG00000255669.1	156	lincRNA
ENSG00000255670.1	320	lincRNA
ENSG00000255760.1	466	lincRNA
ENSG00000255774.1	260	lincRNA
ENSG00000255874.2	160	lincRNA
ENSG00000255933.1	384	lincRNA
ENSG00000256039.1	597	lincRNA
ENSG00000256073.3	1439	lincRNA
ENSG00000256092.2	790	lincRNA
ENSG00000256128.4	371	lincRNA
ENSG00000256427.1	256	lincRNA
ENSG00000256537.3	1523	lincRNA
ENSG00000256576.2	607	lincRNA
ENSG00000256582.1	381	lincRNA
ENSG00000256742.1	366	lincRNA
ENSG00000256806.3	801	lincRNA
ENSG00000256973.1	302	lincRNA
ENSG00000257084.1	627	lincRNA
ENSG00000257086.1	658	lincRNA
ENSG00000257097.1	230	lincRNA
ENSG00000257151.1	587	lincRNA
ENSG00000257261.4	435	lincRNA
ENSG00000257345.2	306	lincRNA
ENSG00000257354.2	371	lincRNA
ENSG00000257496.1	173	lincRNA
ENSG00000257526.2	236	lincRNA
ENSG00000257543.1	419	lincRNA
ENSG00000257556.1	226	lincRNA
ENSG00000257613.1	313	lincRNA
ENSG00000257647.1	331	lincRNA
ENSG00000257654.1	383	lincRNA
ENSG00000257698.1	1512	lincRNA
ENSG00000257883.1	435	lincRNA
ENSG00000257924.1	360	lincRNA
ENSG00000258001.1	198	lincRNA
ENSG00000258048.1	457	lincRNA
ENSG00000258082.1	364	lincRNA
ENSG00000258181.1	479	lincRNA
ENSG00000258301.3	194	lincRNA
ENSG00000258413.1	263	lincRNA
ENSG00000258414.1	163	lincRNA
ENSG00000258476.4	193	lincRNA
ENSG00000258512.1	406	lincRNA
ENSG00000258534.1	524	lincRNA
ENSG00000258572.1	647	lincRNA
ENSG00000258667.1	397	lincRNA
ENSG00000258701.1	385	lincRNA
ENSG00000258733.4	515	lincRNA
ENSG00000258768.2	171	lincRNA
ENSG00000258884.1	190	lincRNA
ENSG00000258914.1	686	lincRNA
ENSG00000258927.1	242	lincRNA
ENSG00000259004.1	506	lincRNA
ENSG00000259042.2	258	lincRNA
ENSG00000259113.1	216	lincRNA
ENSG00000259153.1	955	lincRNA
ENSG00000259321.1	537	lincRNA
ENSG00000259363.4	553	lincRNA
ENSG00000259448.2	447	lincRNA
ENSG00000259459.4	332	lincRNA
ENSG00000259499.1	245	lincRNA
ENSG00000259590.1	235	lincRNA
ENSG00000259618.1	397	lincRNA
ENSG00000259658.3	864	lincRNA
