gene_id	score	gene_type
ENSG00000162894.10	3.035471758	protein_coding
ENSG00000065548.16	3.03539741	protein_coding
ENSG00000164305.16	3.035178051	protein_coding
ENSG00000040275.15	3.034701018	protein_coding
ENSG00000137869.12	3.034435208	protein_coding
ENSG00000127564.15	3.034345525	protein_coding
ENSG00000131355.13	3.033978142	protein_coding
ENSG00000119185.11	3.033300061	protein_coding
ENSG00000019505.6	3.032327351	protein_coding
ENSG00000105778.16	3.030691894	protein_coding
ENSG00000159217.8	3.030683823	protein_coding
ENSG00000157150.4	3.030414294	protein_coding
ENSG00000226321.5	3.030250135	protein_coding
ENSG00000235034.5	3.029503056	protein_coding
ENSG00000172724.10	3.028659774	protein_coding
ENSG00000182108.8	3.028485218	protein_coding
ENSG00000176532.3	3.02807317	protein_coding
ENSG00000091664.7	3.028003655	protein_coding
ENSG00000105501.10	3.027921977	protein_coding
ENSG00000152242.9	3.027781866	protein_coding
ENSG00000161921.13	3.027744916	protein_coding
ENSG00000156931.14	3.027664663	protein_coding
ENSG00000281267.1	3.027235782	protein_coding
ENSG00000212938.3	3.026380985	protein_coding
ENSG00000129152.3	3.024941838	protein_coding
ENSG00000157734.12	3.024719451	protein_coding
ENSG00000114757.17	3.022588758	protein_coding
ENSG00000077549.16	3.022237949	protein_coding
ENSG00000117322.15	3.020519872	protein_coding
ENSG00000127483.16	3.020120181	protein_coding
ENSG00000163518.9	3.019814289	protein_coding
ENSG00000276600.3	3.016891021	protein_coding
ENSG00000135902.8	3.015594079	protein_coding
ENSG00000178795.8	3.014490761	protein_coding
ENSG00000102524.10	3.013896261	protein_coding
ENSG00000172346.13	3.01379906	protein_coding
ENSG00000144649.7	3.012444976	protein_coding
ENSG00000131508.14	3.012158268	protein_coding
ENSG00000113088.5	3.01186476	protein_coding
ENSG00000174851.13	3.011071611	protein_coding
ENSG00000152672.6	3.009915146	protein_coding
ENSG00000172260.12	3.009290472	protein_coding
ENSG00000204592.8	3.008711247	protein_coding
ENSG00000178199.12	3.008525696	protein_coding
ENSG00000085733.14	3.007641062	protein_coding
ENSG00000184895.7	3.005883783	protein_coding
ENSG00000160117.13	3.005430396	protein_coding
ENSG00000111843.12	3.004481544	protein_coding
ENSG00000268320.3	3.003713942	protein_coding
ENSG00000169385.2	3.003037371	protein_coding
ENSG00000143933.15	3.002727634	protein_coding
ENSG00000188211.7	3.00165282	protein_coding
ENSG00000181355.19	3.001443718	protein_coding
ENSG00000186105.7	3.000954256	protein_coding
ENSG00000224586.5	3.000414816	protein_coding
ENSG00000181031.14	2.999431929	protein_coding
ENSG00000278939.1	2.999312377	protein_coding
ENSG00000197461.12	2.998465436	protein_coding
ENSG00000060237.15	2.997537751	protein_coding
ENSG00000123119.10	2.99751118	protein_coding
ENSG00000110921.10	2.997407615	protein_coding
ENSG00000079263.17	2.995715326	protein_coding
ENSG00000166676.13	2.99564425	protein_coding
ENSG00000054803.3	2.994112828	protein_coding
ENSG00000177556.10	2.993438099	protein_coding
ENSG00000270806.1	2.993295353	protein_coding
ENSG00000117523.14	2.993247779	protein_coding
ENSG00000129007.13	2.992358318	protein_coding
ENSG00000172377.1	2.992358156	protein_coding
ENSG00000271383.5	2.991314893	protein_coding
ENSG00000188916.7	2.990810884	protein_coding
ENSG00000120210.6	2.990728079	protein_coding
ENSG00000235162.7	2.989604776	protein_coding
ENSG00000075407.16	2.989583417	protein_coding
ENSG00000132467.3	2.989367893	protein_coding
ENSG00000116701.13	2.988741281	protein_coding
ENSG00000266472.4	2.988662664	protein_coding
ENSG00000170379.18	2.987959438	protein_coding
ENSG00000177807.6	2.987035544	protein_coding
ENSG00000213995.10	2.986657509	protein_coding
ENSG00000135315.10	2.986425989	protein_coding
ENSG00000163106.9	2.986053433	protein_coding
ENSG00000163689.17	2.985961807	protein_coding
ENSG00000111877.16	2.985942056	protein_coding
ENSG00000144136.9	2.985700042	protein_coding
ENSG00000081307.11	2.985357011	protein_coding
ENSG00000274049.3	2.985137911	protein_coding
ENSG00000214782.6	2.984579342	protein_coding
ENSG00000109743.9	2.984173946	protein_coding
ENSG00000127362.2	2.983781967	protein_coding
ENSG00000242715.6	2.983652068	protein_coding
ENSG00000278619.3	2.982006052	protein_coding
ENSG00000171942.4	2.980666524	protein_coding
ENSG00000280226.1	2.980269981	protein_coding
ENSG00000073670.12	2.980167571	protein_coding
ENSG00000131944.8	2.979825493	protein_coding
ENSG00000163825.3	2.979822926	protein_coding
ENSG00000087303.15	2.979366255	protein_coding
ENSG00000137440.4	2.977690976	protein_coding
ENSG00000170953.2	2.977353243	protein_coding
ENSG00000182149.19	2.976380751	protein_coding
ENSG00000225968.6	2.976152586	protein_coding
ENSG00000204152.9	2.975348299	protein_coding
ENSG00000163295.4	2.974447292	protein_coding
ENSG00000167414.4	2.973739092	protein_coding
ENSG00000094916.12	2.973692933	protein_coding
ENSG00000134326.10	2.973169349	protein_coding
ENSG00000170613.4	2.972237347	protein_coding
ENSG00000155100.9	2.972034459	protein_coding
ENSG00000181135.14	2.97116185	protein_coding
ENSG00000005483.18	2.97055559	protein_coding
ENSG00000166902.4	2.970248331	protein_coding
ENSG00000168137.14	2.970096667	protein_coding
ENSG00000065809.12	2.970019491	protein_coding
ENSG00000104899.5	2.969675449	protein_coding
ENSG00000179240.7	2.969012669	protein_coding
ENSG00000141127.13	2.968730414	protein_coding
ENSG00000232629.7	2.968326156	protein_coding
ENSG00000221994.9	2.9659534	protein_coding
ENSG00000126821.7	2.965660943	protein_coding
ENSG00000183395.4	2.965237348	protein_coding
ENSG00000182489.8	2.965147436	protein_coding
ENSG00000168309.15	2.963107411	protein_coding
ENSG00000197780.8	2.96293415	protein_coding
ENSG00000277117.3	2.962834811	protein_coding
ENSG00000169154.5	2.962740171	protein_coding
ENSG00000112818.8	2.961317198	protein_coding
ENSG00000169221.12	2.961009921	protein_coding
ENSG00000188290.9	2.959492453	protein_coding
